"participantid","ppt_included","block","trialnumber_withinblock","shape","location_deviant","deviant_type","orientation","validtrial","sumvalidtrials_overall","proponscreen_shapes_on_1","proponscreen_shapes_on_2","shape_w_duck_car","gaze_topright_2","gaze_bottomleft_3","gaze_bottomright_4","gaze_centre","gaze_onscreen_elsewhere","gaze_nogaze","gaze_topleft_1","gaze_offscreen","total_dwell_shapes","total_dwell_deviant","prop_look_dev"
122,0,1,5,"pentagon",3,2,25,1,15,0.932773109243697,1,"pentagon",0,0,170,34,27,2,0,6,170,0,0
122,0,1,6,"rhombus",1,2,5,1,15,0.966386554621849,0.619834710743802,"rhombus",0,17,121,33,19,2,0,48,138,0,0
122,0,2,1,"equilateral_triangle",4,1,355,0,15,0.763888888888889,0.208333333333333,"equilateral_triangle",0,17,20,36,62,11,0,118,37,20,0.540540540540541
122,0,2,2,"square",2,1,325,1,15,0.689075630252101,1,"square",0,35,110,33,24,15,0,22,145,0,0
122,0,2,3,"isosceles_triangle",1,1,355,1,15,0.92436974789916,0.908333333333333,"isosceles_triangle",0,0,163,32,24,9,0,11,163,0,0
122,0,2,4,"object",3,1,325,1,15,1,1,"duck",43,91,0,14,14,0,77,0,211,91,0.431279620853081
122,0,2,5,"pentagon",4,1,355,1,15,0.773109243697479,0.758333333333333,"pentagon",0,0,134,44,5,3,0,53,134,134,1
122,0,2,6,"rhombus",2,1,325,1,15,0.92436974789916,1,"rhombus",0,3,151,30,47,7,0,2,154,0,0
122,0,3,1,"equilateral_triangle",1,2,325,1,15,0.957983193277311,0.758333333333333,"equilateral_triangle",0,0,168,32,5,5,0,29,168,0,0
122,0,3,2,"square",3,2,355,0,15,0.554621848739496,0.0661157024793388,"square",0,39,7,26,2,0,0,166,46,39,0.847826086956522
122,0,3,3,"isosceles_triangle",4,2,325,1,15,0.791666666666667,1,"isosceles_triangle",0,0,147,51,17,18,0,7,147,147,1
122,0,3,4,"object",2,2,355,1,15,1,1,"car",66,87,25,15,2,0,44,0,222,66,0.297297297297297
122,0,3,5,"pentagon",1,2,325,0,15,0.46218487394958,1,"pentagon",42,43,56,29,5,8,0,56,141,0,0
122,0,3,6,"rhombus",3,2,355,0,15,0.252100840336134,0.7,"rhombus",0,59,2,30,23,14,0,111,61,59,0.967213114754098
122,0,4,1,"equilateral_triangle",2,1,5,0,15,0.798319327731092,0.158333333333333,"equilateral_triangle",0,8,36,29,34,56,7,69,51,0,0
122,0,4,2,"square",4,1,25,0,15,0.857142857142857,0,"square",0,0,44,51,7,131,0,3,44,44,1
122,0,4,3,"isosceles_triangle",3,1,5,0,15,0.201680672268908,0.151260504201681,"isosceles_triangle",0,0,13,22,7,183,0,13,13,0,0
122,0,4,4,"object",1,1,25,1,15,1,1,"duck",68,0,18,11,3,0,139,0,225,139,0.617777777777778
122,0,4,5,"pentagon",2,1,5,0,15,0.352941176470588,0.25,"pentagon",0,1,20,13,38,156,0,11,21,0,0
122,0,4,6,"rhombus",4,1,25,0,15,0.134453781512605,0,"rhombus",0,10,0,0,6,223,0,0,10,0,0
123,1,1,1,"equilateral_triangle",4,2,355,1,10,1,0.760330578512397,"equilateral_triangle",0,0,79,32,3,0,97,29,176,79,0.448863636363636
123,1,1,2,"rhombus",2,2,325,1,10,1,1,"rhombus",43,43,0,51,18,0,84,0,170,43,0.252941176470588
123,1,1,3,"square",1,2,355,1,10,1,1,"square",0,30,0,45,48,0,116,0,146,116,0.794520547945205
123,1,1,4,"isosceles_triangle",3,2,325,0,10,0.857142857142857,0.466666666666667,"isosceles_triangle",0,57,0,13,33,0,55,81,112,57,0.508928571428571
123,1,1,5,"object",4,2,355,1,10,1,1,"car",36,28,102,4,16,0,53,0,219,102,0.465753424657534
123,1,1,6,"pentagon",2,2,325,1,10,1,0.616666666666667,"pentagon",0,0,1,27,40,5,125,41,126,0,0
123,1,2,1,"equilateral_triangle",1,1,325,0,10,0.833333333333333,0.791666666666667,"equilateral_triangle",0,39,93,15,10,0,63,50,195,63,0.323076923076923
123,1,2,2,"rhombus",3,1,355,1,10,0.705882352941177,0.983333333333333,"rhombus",29,118,0,55,0,11,0,26,147,118,0.802721088435374
123,1,2,3,"square",4,1,325,0,10,0.0338983050847458,0.0578512396694215,"square",0,1,0,4,6,152,0,76,1,0,0
123,1,2,4,"isosceles_triangle",2,1,355,0,10,0.474576271186441,0,"isosceles_triangle",0,0,0,51,5,141,0,42,0,0,NA
123,1,2,5,"object",1,1,325,1,10,1,1,"duck",0,98,0,4,25,0,113,0,211,113,0.535545023696682
123,1,2,6,"pentagon",3,1,355,0,10,0.127118644067797,0,"pentagon",0,0,0,13,2,147,0,77,0,0,NA
123,1,3,1,"equilateral_triangle",2,2,5,0,10,0.591304347826087,0.0909090909090909,"equilateral_triangle",0,3,0,7,39,155,30,2,33,0,0
